CA,sand.state,state.fips,fips.code,CFPL,zillow.forc,forc.high,hh2000
0,0,25,25003,1,204.669,0,66301
0,0,25,25005,0,94.356,0,216918
0,0,25,25005,1,360.3445,0,216918
0,0,25,25007,0,21.5363582231744,0,14836
0,0,25,25007,1,244.0462,0,14836
0,0,25,25009,0,60.8322,0,287144
0,0,25,25009,1,235.3397,0,287144
0,0,25,25011,0,85.3392,0,31939
0,0,25,25011,1,509.7613,0,31939
0,0,25,25013,0,110.7153,0,185876
0,0,25,25013,1,442.0228,0,185876
0,0,25,25015,0,40.8959,0,58644
0,0,25,25015,1,209.5678,0,58644
0,0,25,25017,0,57.8601,0,576681
0,0,25,25017,1,241.6394,0,576681
0,0,25,25021,0,54.8488,0,255154
0,0,25,25021,1,218.6407,0,255154
0,0,25,25023,0,64.7055,0,181524
0,0,25,25023,1,344.0531,0,181524
0,0,25,25025,0,102.2774,0,292520
0,0,25,25025,1,425.3861,0,292520
0,0,25,25027,0,113.9784,0,298159
0,0,25,25027,1,585.9659,0,298159
0,0,27,27003,0,71.6783,0,108091
0,0,27,27003,1,1293.6663,0,108091
0,0,27,27019,0,173.6797,0,24883
0,0,27,27019,1,525.1024,0,24883
0,0,27,27025,0,83.4035,0,15533
0,0,27,27025,1,733.2561,0,15533
0,0,27,27027,0,44.6372,0,19746
0,0,27,27027,1,212.7894,0,19746
0,0,27,27037,0,283.8568,0,133750
0,0,27,27037,1,1290.0624,0,133750
0,0,27,27049,0,58.6778,0,17879
0,0,27,27049,1,371.6832,0,17879
0,0,27,27053,0,78.6629,0,468824
0,0,27,27053,1,1111.4762,0,468824
0,0,27,27059,0,41.7721,0,12062
0,0,27,27059,1,767.1316,0,12062
0,0,27,27123,0,168.1828,0,206448
0,0,27,27123,1,1154.3279,0,206448
0,0,27,27131,0,48.6676,0,20061
0,0,27,27131,1,249.0453,0,20061
0,0,27,27139,0,296.7884,0,31609
0,0,27,27139,1,746.1189,0,31609
0,0,27,27141,0,81.3829,0,22827
0,0,27,27141,1,1438.0292,0,22827
0,0,27,27145,0,38.4517,0,50291
0,0,27,27145,1,301.6075,0,50291
0,0,27,27163,0,33.2732,0,73635
0,0,27,27163,1,354.4294,0,73635
0,0,27,27171,0,73.7145,0,34355
0,0,27,27171,1,650.8072,0,34355
0,0,29,29071,0,96.1341,0,38295
0,0,29,29071,1,461.9882,0,38295
0,0,29,29099,0,144.7472,0,75586
0,0,29,29099,1,582.8169,0,75586
0,0,29,29183,0,84.3281,0,105514
0,0,29,29183,1,408.3446,0,105514
0,0,29,29189,0,182.7777,0,423749
0,0,29,29189,1,567.8774,0,423749
0,0,29,29510,0,347.7636,0,176354
0,0,29,29510,1,868.1115,0,176354
0,0,31,31109,0,56.96,0,104217
0,0,31,31109,1,366.0967,0,104217
0,0,31,31153,0,65.4571,0,44981
0,0,31,31153,1,276.6727,0,44981
0,1,32,32003,0,372.0058,1,559799
0,1,32,32003,1,2089.2336,1,559799
0,1,32,32005,0,94.1287,0,19006
0,1,32,32005,1,741.0674,0,19006
0,1,32,32007,0,48.9041741225461,0,18456
0,1,32,32007,1,309.2821,0,18456
0,1,32,32019,0,284.0686,1,14279
0,1,32,32019,1,1785.2047,1,14279
0,1,32,32031,0,146.7949,1,143908
0,1,32,32031,1,1117.3889,1,143908
0,0,34,34001,0,14.0815,0,114090
0,0,34,34001,1,137.4356,0,114090
0,0,34,34003,0,6.1439,0,339820
0,0,34,34003,1,52.7923,0,339820
0,0,34,34005,0,11.9122,0,161311
0,0,34,34005,1,20.3673911038171,0,161311
0,0,34,34007,0,12.1161,0,199679
0,0,34,34007,1,117.1474,0,199679
0,0,34,34013,0,22.7923,0,301011
0,0,34,34013,1,35.5759,0,301011
0,0,34,34015,0,8.6512,0,95054
0,0,34,34015,1,21.3518128027499,0,95054
0,0,34,34017,0,10.9743,0,240618
0,0,34,34017,1,125.4715,0,240618
0,0,34,34021,0,7.05777398095408,0,133280
0,0,34,34021,1,20.9424893684886,0,133280
0,0,34,34025,0,0.932838008122534,0,240884
0,0,34,34025,1,18.050064715982,0,240884
0,0,34,34027,0,3.3385,0,174379
0,0,34,34027,1,14.8995857314345,0,174379
0,0,34,34029,0,19.3515,0,248711
0,0,34,34029,1,77.4054,0,248711
0,0,34,34031,0,31.564,0,170048
0,0,34,34031,1,85.4139,0,170048
0,0,34,34033,0,8.98625793984381,0,26158
0,0,34,34033,1,123.973993299607,0,26158
0,0,34,34035,0,6.4103,0,112023
0,0,34,34035,1,30.9375,0,112023
0,0,34,34037,0,16.6485,0,56528
0,0,34,34037,1,44.9176732700189,0,56528
0,0,34,34039,0,12.304,0,192945
0,0,34,34039,1,32.4246,0,192945
0,0,34,34041,0,22.1675,0,41157
0,0,34,34041,1,28.2197315694322,0,41157
0,0,36,36001,0,24.6543,0,129972
0,0,36,36001,1,73.2035,0,129972
0,0,36,36021,0,57.4457,0,30207
0,0,36,36021,1,204.7088,0,30207
0,0,36,36027,0,40.5606,0,106103
0,0,36,36027,1,134.8632,0,106103
0,0,36,36029,0,63.6404,0,415868
0,0,36,36029,1,131.9595,0,415868
0,0,36,36039,0,16.705779523767,0,26544
0,0,36,36039,1,70.9147344560325,0,26544
0,0,36,36045,0,11.8489979392137,0,54070
0,0,36,36045,1,59.5908147825316,0,54070
0,0,36,36047,0,9.19738633282839,0,930866
0,0,36,36047,1,21.1316511038795,0,930866
0,0,36,36055,0,15.0936,0,304388
0,0,36,36055,1,93.3012,0,304388
0,0,36,36059,0,22.3136,0,458151
0,0,36,36059,1,61.1393,0,458151
0,0,36,36061,0,1.91490987272184,0,798144
0,0,36,36061,1,7.66393757491393,0,798144
0,0,36,36063,0,91.0533,0,95715
0,0,36,36063,1,103.9203,0,95715
0,0,36,36065,0,27.9242890204742,0,102803
0,0,36,36065,1,32.3626299610153,0,102803
0,0,36,36067,0,15.4629,0,196633
0,0,36,36067,1,17.7269503128302,0,196633
0,0,36,36071,0,39.4872568376435,0,122754
0,0,36,36071,1,133.1587,0,122754
0,0,36,36079,0,49.6514,0,35030
0,0,36,36079,1,132.940961639577,0,35030
0,0,36,36081,0,29.0888831385088,0,817250
0,0,36,36081,1,94.6606,0,817250
0,0,36,36083,0,32.9004,0,66120
0,0,36,36083,1,69.4223,0,66120
0,0,36,36085,0,25.5835,0,163993
0,0,36,36085,1,103.8574,0,163993
0,0,36,36087,0,26.4875,0,94973
0,0,36,36087,1,92.5713,0,94973
0,0,36,36091,0,29.4481558834199,0,86701
0,0,36,36091,1,86.5936,0,86701
0,0,36,36093,0,47.1338,0,65032
0,0,36,36093,1,121.2984,0,65032
0,0,36,36101,0,41.1195,0,46132
0,0,36,36101,1,143.419028995655,0,46132
0,0,36,36103,0,16.7615,0,522323
0,0,36,36103,1,95.3187,0,522323
0,0,36,36105,0,70.7558,0,44730
0,0,36,36105,1,216.5998,0,44730
0,0,36,36111,0,56.5943,0,77656
0,0,36,36111,1,208.9538,0,77656
0,0,36,36117,0,51.6038,0,38767
0,0,36,36117,1,95.733930342474,0,38767
0,0,36,36119,0,18.3327,0,349445
0,0,36,36119,1,64.1254,0,349445
0,0,37,37021,0,7.379,0,93973
0,0,37,37021,1,158.2959,0,93973
0,0,37,37025,0,93.437,0,52848
0,0,37,37025,1,414.3884,0,52848
0,0,37,37027,0,81.7376,0,33430
0,0,37,37027,1,260.5029,0,33430
0,0,37,37035,0,20.551974185045,0,59919
0,0,37,37035,1,181.7583,0,59919
0,0,37,37051,0,114.6786,0,118425
0,0,37,37051,1,328.9243,0,118425
0,0,37,37059,0,73.3751,0,14953
0,0,37,37059,1,299.9021,0,14953
0,0,37,37067,0,112.8739,0,133093
0,0,37,37067,1,392.5889,0,133093
0,0,37,37069,0,188.4498,0,20364
0,0,37,37069,1,458.2592,0,20364
0,0,37,37071,0,51.6842,0,78842
0,0,37,37071,1,365.2987,0,78842
0,0,37,37089,0,32.7272,0,42996
0,0,37,37089,1,296.9011,0,42996
0,0,37,37097,0,56.9667,0,51918
0,0,37,37097,1,284.1256,0,51918
0,0,37,37101,0,99.6916,0,50196
0,0,37,37101,1,443.2515,0,50196
0,0,37,37105,0,14.4214451102655,0,19909
0,0,37,37105,1,82.2907310344703,0,19909
0,0,37,37109,0,215.1308,0,25717
0,0,37,37109,1,773.775443998467,0,25717
0,0,37,37119,0,167.8738,0,292780
0,0,37,37119,1,628.0011,0,292780
0,0,37,37125,0,7.3619,0,35151
0,0,37,37125,1,34.4105061175244,0,35151
0,0,37,37129,0,23.8161,0,79616
0,0,37,37129,1,357.907,0,79616
0,0,37,37159,0,33.6772,0,53980
0,0,37,37159,1,116.361857969744,0,53980
0,0,37,37167,0,31.5474647498261,0,24582
0,0,37,37167,1,259.2135,0,24582
0,0,37,37179,0,95.4378,0,45695
0,0,37,37179,1,523.6424,0,45695
0,0,37,37183,0,60.7834,0,258953
0,0,37,37183,1,257.0953,0,258953
0,0,39,39007,0,68.4428,0,43792
0,0,39,39007,1,440.9811,0,43792
0,0,39,39011,0,117.1378,0,18470
0,0,39,39011,1,604.085,0,18470
0,0,39,39017,0,158.6168,0,129793
0,0,39,39017,1,463.9547,0,129793
0,0,39,39023,0,199.3816,0,61056
0,0,39,39023,1,580.3489,0,61056
0,0,39,39025,0,184.6243,0,69226
0,0,39,39025,1,710.044,0,69226
0,0,39,39035,0,299.9761,0,616903
0,0,39,39035,1,554.1401,0,616903
0,0,39,39041,0,106.3551,0,42374
0,0,39,39041,1,321.6773,0,42374
0,0,39,39045,0,152.0271,0,47922
0,0,39,39045,1,485.5329,0,47922
0,0,39,39049,0,240.6984,0,471016
0,0,39,39049,1,756.3244,0,471016
0,0,39,39055,0,56.5237,0,32805
0,0,39,39055,1,208.5561,0,32805
0,0,39,39061,0,195.553,0,373393
0,0,39,39061,1,131.0028,0,373393
0,0,39,39085,0,97.1888,0,93487
0,0,39,39085,1,315.9928,0,93487
0,0,39,39087,0,12.7295465558491,0,27189
0,0,39,39087,1,136.07545681305,0,27189
0,0,39,39093,0,154.6948,0,111368
0,0,39,39093,1,457.4584,0,111368
0,0,39,39095,0,244.403,0,196259
0,0,39,39095,1,586.3577,0,196259
0,0,39,39099,0,5.59194881158407,0,111762
0,0,39,39099,1,11.8704667722343,0,111762
0,0,39,39103,0,78.5161,0,56793
0,0,39,39103,1,293.5809,0,56793
0,0,39,39109,0,100.0868,0,40554
0,0,39,39109,1,433.0187,0,40554
0,0,39,39113,0,233.5762,0,248443
0,0,39,39113,1,803.3838,0,248443
0,0,39,39129,0,28.8975,0,18596
0,0,39,39129,1,78.6016203770672,0,18596
0,0,39,39133,0,127.149,0,60096
0,0,39,39133,1,662.5678,0,60096
0,0,39,39139,0,58.5182,0,53062
0,0,39,39139,1,294.9561,0,53062
0,0,39,39141,0,93.9837,0,29461
0,0,39,39141,1,151.5721,0,29461
0,0,39,39143,0,60.2473,0,25253
0,0,39,39143,1,71.4018201474735,0,25253
0,0,39,39153,0,166.9091,0,230880
0,0,39,39153,1,418.7267,0,230880
0,0,39,39155,0,162.9596,0,95117
0,0,39,39155,1,415.7507,0,95117
0,0,39,39159,0,135.9666,0,15217
0,0,39,39159,1,447.6021,0,15217
0,0,39,39165,0,118.4632,0,58692
0,0,39,39165,1,402.063,0,58692
0,0,39,39173,0,81.046,0,47468
0,0,39,39173,1,287.909,0,47468
0,0,40,40013,0,23.8596543915,0,16715
0,0,40,40013,1,66.2697115324217,0,16715
0,0,40,40019,0,14.5123270796776,0,20577
0,0,40,40019,1,73.9566346045573,0,20577
0,0,40,40091,0,55.9675521102037,0,12640
0,0,40,40091,1,126.117893413164,0,12640
0,0,40,40097,0,52.229264226942,0,17423
0,0,40,40097,1,212.005705647231,0,17423
0,0,40,40109,0,63.0465,0,295020
0,0,40,40109,1,150.1309,0,295020
0,0,40,40119,0,13.0205940305433,0,29326
0,0,40,40119,1,32.1760784424677,0,29326
0,0,40,40143,0,57.7006,0,243953
0,0,40,40143,1,191.3798,0,243953
0,0,41,41003,0,10.1099796666347,0,31980
0,0,41,41003,1,108.2881,0,31980
0,0,41,41005,0,34.94,0,136954
0,0,41,41005,1,394.7563,0,136954
0,0,41,41009,0,66.8258,0,17572
0,0,41,41009,1,639.0809,0,17572
0,0,41,41011,0,7.86707686713454,0,29247
0,0,41,41011,1,51.8932407589285,0,29247
0,0,41,41017,0,48.3633,0,54583
0,0,41,41017,1,1030.8968,0,54583
0,0,41,41019,0,51.3032,0,43284
0,0,41,41019,1,449.5671,0,43284
0,0,41,41029,0,133.8537,0,75737
0,0,41,41029,1,1429.7116,0,75737
0,0,41,41033,0,78.9224,0,33239
0,0,41,41033,1,537.224,0,33239
0,0,41,41039,0,32.6618,0,138946
0,0,41,41039,1,284.3317,0,138946
0,0,41,41041,0,24.5505,0,26889
0,0,41,41041,1,341.9675,0,26889
0,0,41,41043,0,53.1905,0,42521
0,0,41,41043,1,499.335,0,42521
0,0,41,41047,0,44.2134,0,108174
0,0,41,41047,1,456.0969,0,108174
0,0,41,41051,0,37.8074,0,288561
0,0,41,41051,1,437.4582,0,288561
0,0,41,41053,0,44.8188,0,24461
0,0,41,41053,1,458.0369,0,24461
0,0,41,41057,0,22.8787174133805,0,15906
0,0,41,41057,1,320.8032,0,15906
0,0,41,41067,0,26.5859,0,178913
0,0,41,41067,1,399.596,0,178913
0,0,41,41071,0,44.9559,0,30270
0,0,41,41071,1,508.3706,0,30270
0,0,42,42003,0,66.7923,0,583646
0,0,42,42003,1,209.3679,0,583646
0,0,42,42011,0,51.5868,0,150222
0,0,42,42011,1,190.498349776898,0,150222
0,0,42,42017,0,24.8983,0,225498
0,0,42,42017,1,138.108,0,225498
0,0,42,42029,0,7.6692,0,163773
0,0,42,42029,1,39.5664,0,163773
0,0,42,42045,0,32.4793,0,216978
0,0,42,42045,1,109.6564,0,216978
0,0,42,42049,0,94.3887,0,114322
0,0,42,42049,1,196.9925,0,114322
0,0,42,42071,0,45.7196,0,179990
0,0,42,42071,1,159.0705,0,179990
0,0,42,42077,0,22.6765,0,128910
0,0,42,42077,1,404.4089,0,128910
0,0,42,42079,0,51.8800532630372,0,144686
0,0,42,42079,1,245.3669,0,144686
0,0,42,42089,0,153.136,0,67581
0,0,42,42089,1,573.2313,0,67581
0,0,42,42091,0,27.9974,0,297434
0,0,42,42091,1,140.5834,0,297434
0,0,42,42095,0,38.9793,0,106710
0,0,42,42095,1,237.5209,0,106710
0,0,42,42101,0,84.5027,0,661958
0,0,42,42101,1,268.0202,0,661958
0,0,42,42125,0,120.4581,0,87267
0,0,42,42125,1,317.3598,0,87267
0,0,42,42129,0,86.2273,0,161058
